Country,Continent,MenAthletes,WomenAthletes,Total Athletes,Gold,Silver,Bronze,TotalMedals,AlpineSkiing,Biathlon,Bobsleigh,CrossCountrySkiing,Curling,FigureSkating,FreestyleSkiing,IceHockey,Luge,NordicCombined,ShortTrankSpeedSkating,Skeleton,SkyJumping,Snowboard,SpeedSkating
Norway,Europe,53,31,84,16,8,13,37,4,14,,8,1,,1,,,4,,,1,1,3
Germany,Europe,96,49,145,12,10,5,27,1,2,7,2,,,1,,6,2,,3,3,,
People's Republic of China,Asia,94,86,180,9,4,2,15,,,,,,1,6,,,,4,1,,2,1
United States,North America,118,108,226,8,10,7,25,1,,3,2,,3,8,1,,,,,,4,3
Sweden,Europe,62,59,121,8,5,5,18,1,4,,4,3,2,2,,,,,,,,2
Netherlands,Europe,21,20,41,8,5,4,17,,,,,,,,,,,4,1,,,12
Austria,Europe,62,42,104,7,7,4,18,7,,,1,,,,,3,1,,,2,4,
Switzerland,Europe,92,75,167,7,2,5,14,9,,,,,,4,,,,,,,1,
Russian Olympic Committee,Europe/Asia,110,104,214,6,12,14,32,,4,,11,,6,3,1,,,2,,1,1,2
France,Europe,50,36,86,5,7,2,14,3,7,,1,,1,1,,,,,,,1,
Canada,North America,112,106,218,4,8,14,26,1,,2,,1,,5,1,,,4,,1,6,5
Japan,Asia,48,75,123,3,6,9,18,,,,,1,4,1,,,2,,,2,3,5
Italy,Europe,71,47,118,2,7,8,17,4,1,,1,1,,,,1,,4,,,2,3
Republic of Korea,Asia,35,30,65,2,5,2,9,,,,,,,,,,,5,,,,4
Slovenia,Europe,23,21,44,2,3,2,7,1,,,,,,,,,,,,4,2,
Finland,Europe,51,44,95,2,2,4,8,,,,6,,,,2,,,,,,,
New Zealand,Europe,9,7,16,2,1,0,3,,,,,,,1,,,,,,,2,
Australia,Oceania,21,22,43,1,2,1,4,,,,,,,1,,,,,1,,2,
Great Britain,Oceania,27,23,50,1,1,0,2,,,,,2,,,,,,,,,,
Hungary,Europe,8,6,14,1,0,2,3,,,,,,,,,,,3,,,,
Belgium,Europe,11,8,19,1,0,1,2,,,,,,,,,,,1,,,,1
Czech Republic,Europe,60,56,116,1,0,1,2,,,,,,,,,,,,,,1,1
Slovakia,Europe,38,13,51,1,0,1,2,1,,,,,,,1,,,,,,,
Belarus,Europe,13,16,29,0,2,0,2,,1,,,,,1,,,,,,,,
